Driver,Tee,400
AW,Rough,125
LW,Rough,10
Putter,Green,8
Putter,Green,1
3H,Tee,360
PW,Fairway,135
LW,Rough,15
Putter,Green,10
9i,Tee,140
Putter,Green,30
Putter,Green,4
Putter,Green,1
3W,Tee,380
3W,Rough,240
9i,Fairway,145
LW,Sand,15
LW,Sand,15
Putter,Green,20
Putter,Green,3
Driver,Tee,490
3H,Fairway,220
Putter,Green,25
Putter,Green,2
Driver,Tee,400
PW,Rough,135
Putter,Green,10
Putter,Green,1
9i,Tee,150
Putter,Green,30
Putter,Green,7
Putter,Green,1
4i,Tee,330
LW,Fairway,100
LW,Rough,15
Putter,Green,25
Putter,Green,4
3W,Tee,480
5i,Fairway,200
Putter,Green,20
Putter,Green,2
