Driver,Tee,390
AW,Rough,100
LW,Sand,10
Putter,Green,15
Putter,Green,6
Putter,Green,1
Driver,Tee,349
SW,Fairway,105
Putter,Green,14
Putter,Green,2
6i,Tee,165
LW,Sand,20
LW,Rough,20
LW,Rough,8
Driver,Tee,355
5i,Fairway,160
Putter,Green,40
Putter,Green,10
Putter,Green,2
Driver,Tee,482
3H,Fairway,295
LW,Fairway,66
Putter,Green,30
Putter,Green,5
Putter,Green,1
Driver,Tee,400
PW,Fairway,145
Putter,Green,15
Putter,Green,1
8i,Tee,155
Putter,Green,35
Putter,Green,4
4i,Tee,311
SW,Fairway,100
Putter,Green,30
Putter,Green,5
Putter,Green,1
Driver,Tee,495
Penalty,Penalty,195
6i,Rough,195
LW,Sand,20
Putter,Green,12
Putter,Green,1
Driver,Tee,400
8i,Fairway,150
SW,Fairway,25
Putter,Green,8
3W,Tee,342
7i,Rough,150
Putter,Green,30
Putter,Green,6
Putter,Green,1
Driver,Tee,412
3H,Fairway,195
Putter,Green,35
Putter,Green,4
Driver,Tee,360
7i,Fairway,150
LW,Sand,20
Putter,Green,10
Putter,Green,1
8i,Tee,150
Putter,Green,20
Putter,Green,3
Driver,Tee,466
6i,Rough,190
SW,Fairway,60
LW,Rough,10
Putter,Green,5
3W,Tee,368
PW,Fairway,133
Putter,Green,10
Putter,Green,1
5i,Tee,195
Putter,Green,12
Putter,Green,1
3W,Tee,407
8i,Fairway,160
Putter,Green,15
Putter,Green,4
