Driver,Tee,410
8i,Fairway,150
Putter,Green,30
Putter,Green,15
Putter,Green,3
Driver,Tee,365
8i,Fairway,144
Putter,Green,35
Putter,Green,12
Putter,Green,2
8i,Tee,153
LW,Fairway,25
Putter,Green,8
Putter,Green,1
Driver,Tee,390
7i,Fairway,160
Putter,Green,15
Putter,Green,5
Putter,Green,1
Driver,Tee,510
4i,Rough,237
LW,Fairway,15
Putter,Green,5
Driver,Tee,420
4i,Fairway,195
LW,Fairway,20
Putter,Green,10
3H,Tee,195
Putter,Green,45
Putter,Green,8
3H,Tee,365
PW,Rough,160
9i,Rough,145
Putter,Green,40
Putter,Green,5
Driver,Tee,510
3H,Fairway,230
3H,Fairway,230
8i,Fairway,145
LW,Rough,15
Putter,Green,7
Putter,Green,1
Driver,Tee,410
7i,Fairway,155
Putter,Green,20
Putter,Green,4
3W,Tee,385
8i,Fairway,150
LW,Sand,25
LW,Sand,15
LW,Rough,10
Putter,Green,8
Driver,Tee,425
4i,Fairway,195
Putter,Green,7
Putter,Green,1
Driver,Tee,365
7i,Rough,163
Putter,Green,20
Putter,Green,2
7i,Tee,170
Putter,Green,12
Putter,Green,1
Driver,Tee,495
3W,Fairway,270
LW,Fairway,50
Putter,Green,10
Putter,Green,1
Driver,Tee,410
6i,Fairway,185
Putter,Green,15
Putter,Green,2
4i,Tee,195
SW,Rough,15
Putter,Green,5
Driver,Tee,405
8i,Fairway,147
Putter,Green,35
Putter,Green,5
